#systematic_name	standard_name	synonyms
PA0006	yaeD	PA14_00070
PA0013	yhhQ	PA14_00140
PA0017	fmu	PA14_00180 sun
PA0021	smf	PA14_00230
PA0022	yrdC	PA14_00240
PA0054	yjiI	PA14_00660
PA0066	yrdA	PA14_00780
PA0095	vgrG1b	
PA0115	elaA	PA14_01400
PA0128	phnA	PA14_01560
PA0134	gda2	PA14_01660
PA0148	add	PA14_01830
PA0168	yigZ	PA14_02100
PA0182	yjgI	PA14_02300
PA0184	atsC	PA14_02330
PA0185	atsB	PA14_02340
PA0186	atsR	PA14_02360
PA0189	opdI	PA14_02370
PA0209	mdcB	PA14_02560
PA0213	mdcG	PA14_02610
PA0214	mdcH	PA14_02620
PA0215	madL	PA14_02630
PA0216	madM	PA14_02640
PA0217	mdcR	PA14_02650
PA0227	pcaJ	PA14_02770
PA0240	opdF	PA14_02980
PA0248	pobR	PA14_03070
PA0279	ydfF	PA14_03630
PA0313	yecS	PA14_04080
PA0314	fliY	PA14_04090
PA0317		PA14_04140
PA0318	hpcE	PA14_04150
PA0352	yicE	PA14_04610
PA0370	yhhF	PA14_04860
PA0378	mgtA	PA14_04950
PA0379	ygdD	PA14_04960
PA0386	yggW	PA14_05040
PA0387	yggV	PA14_05050
PA0392	yggT	PA14_05130
PA0394	yggS	PA14_05160
PA0397	czcD	PA14_05200
PA0400	metB	PA14_05230 metC
PA0401	pyrC'	PA14_05250 pyrX
PA0404	yqgF	PA14_05280
PA0419	yggJ	PA14_05450
PA0428	rhlE	PA14_05560
PA0439	yeiA	PA14_05740 dypB
PA0440	dypA	PA14_05750
PA0444	hyuC	PA14_05810
PA0452	slp	PA14_05890
PA0454	yccS	PA14_05920
PA0458	yieO	PA14_05990
PA0459	clpC	PA14_06000
PA0461	yihG	PA14_06030
PA0473	psfA	PA14_06190
PA0485	rarD	PA14_06320
PA0486	yihE	PA14_06330
PA0487	modR	PA14_06340 modE
PA0488	yfiM	PA14_06350
PA0492	ycsF	PA14_06420
PA0496	ybgK	PA14_06480
PA0502	bioH	PA14_06530
PA0503	bioC	PA14_06540
PA0515	nirD	PA14_06710
PA0521	nirO	PA14_06790
PA0522	nirP	PA14_06800
PA0525	norD	PA14_06840
PA0542	yqjC	PA14_07040
PA0550	ygbM	PA14_07150
PA0559	yhiN	PA14_07280
PA0560	ygjP	PA14_07290
PA0567	yqaE	PA14_07370
PA0581	ygiH	PA14_07580
PA0586	ycgB	PA14_07650
PA0587	yeaH	PA14_07660
PA0588	yeaG	PA14_07680
PA0589	glpE	PA14_07690
PA0591	apaG	PA14_07710
PA0608	gph	PA14_07930
PA0653	yhfA	PA14_08380
PA0656	ycfF	PA14_08420
PA0665	yadR	PA14_08510
PA0667	yebA	PA14_08540
PA0673	pigB	PA14_55570
PA0724	coaA	PA14_48930
PA0728	intF4	PA14_48880
PA0733	rsuA	PA14_54800
