#systematic_name	standard_name	synonyms
PA0006	yaeD	PA14_00070
PA0741	ywnB	PA14_54690
PA0745	dspI	PA14_54640
PA0748		
PA0768	lepB	PA14_54350 lep
PA0774	yecP	PA14_54270
PA0775	yecO	PA14_54260
PA0832	ycbL	PA14_53510
PA0838	btuE	PA14_53420
PA0846	cysZ	PA14_53330
PA0868	yaeJ	PA14_53030
PA0884	dctP	PA14_52840
PA0885	dctQ	PA14_52820
PA0886	dctM	PA14_52810
PA0891	aotO	PA14_52760
PA0915	yehS	PA14_52430
PA0916	yliG	PA14_52420
PA0929	pirR	PA14_52250
PA0930	pirS	PA14_52240
PA0935	mazG	PA14_52160
PA0937	yaiL	PA14_52140
PA0951	rbn	PA14_51960
PA0953	helX	PA14_51930
PA0968	ybgC	PA14_51770
PA1006	yrkI	PA14_51310
PA1007	perM	PA14_51300
PA1012	yycJ	PA14_51250
PA1025	opdD	PA14_51070
PA1031	yigN	PA14_51000
PA1033	yfcG	PA14_50970
PA1037	yicG	PA14_50920
PA1039	ychJ	PA14_50900
PA1050	yeaG	PA14_50790
PA1052	yhaD	PA14_50760
PA1053	slyB	PA14_50740
PA1093	flaG	PA14_50280
PA1095	fliS	PA14_50250
PA1103	fliH	PA14_50110
PA1112	yliI	PA14_50010
PA1122	def	PA14_49870 fms pdf
PA1125	cobB	PA14_49820
PA1127	gsp69	PA14_49800
PA1135	yedU	PA14_49710
PA1140	ylbA	PA14_49650
PA1171	sltB2	PA14_49280
PA1181	yegE	PA14_49160
PA1185	yfcG	PA14_49100
PA1187	lcaD	PA14_49080
PA1190	yohC	PA14_49050
PA1192	ydaO	PA14_48870
PA1202	ycaC	PA14_48760
PA1204	yieF	PA14_48740
PA1210	yhhW	PA14_48650
PA1222	mltA	PA14_48520
PA1229	yeaM	PA14_48390
PA1238	opmJ	PA14_48240
PA1274	bluB	PA14_47750
PA1280	cobC	PA14_47660
PA1288	fadL	PA14_47540 ompP1
PA1295	ycgL	PA14_47450
PA1298	yohL	PA14_47420
PA1299	ycgN	PA14_47410
PA1302	hxuC	PA14_47380
PA1307	yafJ	PA14_47330
PA1322	pfuA	PA14_47140
PA1325	yybH	PA14_47110
PA1331	yegH	PA14_47040
PA1344	yvaG	PA14_46890
PA1360	ybiF	PA14_46700
PA1377	yhhY	PA14_46440
PA1382	xqhB	
PA1410	potF1	PA14_46220
PA1413	yneJ	PA14_46170
PA1423	bdlA	PA14_46030
PA1428	yjaB	PA14_45980
PA1439	ybaN	PA14_45850
PA1442	fliL	PA14_45810
PA1458	cheA	PA14_45590
PA1459	cheB	PA14_45580
PA1464	cheW	PA14_45500
PA1478	cycX	PA14_45340 ccmD helD
PA1501	gip	PA14_45010
PA1514	ybbT	PA14_44860
PA1521	gda1	PA14_44770
PA1548	fixS	PA14_44450
PA1551	fixG	PA14_44420
PA1563	ygdE	PA14_44280
PA1573	yijF	PA14_44150
PA1574	yaiE	PA14_44140
PA1616	sixA	PA14_43620
PA1618	ybdB	PA14_43600
PA1638	yneH	PA14_43320
PA1643	ybbB	PA14_43270
PA1678	ycfB	PA14_42790
PA1692	pscS	PA14_42630
PA1697	pscN	PA14_42570
PA1737	fadB	PA14_42080
PA1769	ydiA	PA14_41680
PA1772	menG	PA14_41640
PA1779	nasC	PA14_41560 nasA
PA1792	ybbF	PA14_41400
PA1813	gloB	PA14_41080
PA1819	yjdE	PA14_41010
PA1832	sohB	PA14_40840
PA1833	yhfP	PA14_40830
PA1857	yedI	PA14_40490
PA1875	opmL	PA14_40250
PA1914	hvn	PA14_39780
PA1922	cirA	PA14_39650 feuA
PA1926	ycaO	PA14_39610
PA1933	yagR	PA14_39520
PA1957	nadR	PA14_39210
PA1964	ybiT	PA14_39130
PA1993	yhhS	PA14_38730
PA2002	atoE	PA14_38610
PA2005	hbcR	PA14_38570
PA2026	yfeH	PA14_38320
PA2032	yjiR	PA14_38250
PA2042	ygjU	PA14_38110
PA2045	yidD	PA14_38060
PA2084	asnB	PA14_37560 yucB
PA2103	moeB	
PA2119	adh	
PA2142	yhxC	PA14_36870
PA2146	yciG	PA14_36820
PA2154	ybhN	PA14_36700
PA2155	ybhO	PA14_36690
PA2156	ybhP	PA14_36680
PA2160	glgX	PA14_36630
PA2165	glgA	PA14_36570
PA2184	yciE	
PA2197	ycnB	PA14_36290
PA2213	opdG	PA14_36090
PA2218	yodE	
PA2220	oprR	
PA2229	yiiM	
PA2260	kguE	PA14_35360
PA2261	kguK	PA14_35340 kgk
PA2262	kguT	PA14_35330
PA2263	kguD	PA14_35320 yiaE
PA2265	gad	PA14_35290
PA2275	yahK	PA14_35150
PA2280	arsH	PA14_35080
PA2291	oprB2	PA14_34960 opbA
PA2322	gntP	PA14_34630 gntT gntU gnuT
PA2323	gapN	PA14_34600 gapB
PA2335	optO	
PA2338	mtlE	PA14_34420
PA2339	mtlF	PA14_34410
PA2340	mtlG	PA14_34390
PA2341	mtlK	PA14_34370
PA2355	msuC	PA14_34200
PA2359	snfR2	PA14_34150 sfa3 sfnR2
PA2419	slsA	PA14_33420
PA2420	opdJ	PA14_33410
PA2478	dsbD2	PA14_32590 dipZ2
PA2483	yhbW	PA14_32520
PA2490	ydbB	PA14_32440
PA2498	yahD	PA14_32350
PA2499	ykoA	PA14_32340
PA2500	cynX	PA14_32330
PA2536	ynbB	PA14_31760
PA2539	ynbD	PA14_31730
PA2542	ytfN	PA14_31690
PA2543	ytfM	PA14_31680
PA2549	ygjT	PA14_31610
PA2552	acdB	PA14_31540
PA2564	tam	PA14_31370
PA2570	lecA	PA14_31290 pa1L
PA2580	mdaB	PA14_30740
PA2592	potF5	PA14_30570
PA2602		PA14_30440
PA2604	yccA	PA14_30410
PA2605	yheN	PA14_30400
PA2606	yheM	PA14_30390
PA2608	yccK	PA14_30370
PA2610	yqjG	PA14_30350
PA2613	ycaJ	PA14_30320
PA2627	ycfC	PA14_30140
PA2630	ycfD	PA14_30100
PA2631	yjcF	PA14_30090
PA2650	ybaJ	PA14_29830
PA2653	yuiF	PA14_29770
PA2666	ptpS	PA14_29600
PA2671	hplX	PA14_29550
PA2672	hplW	PA14_29540
PA2673	hplV	PA14_29530
PA2674	hplU	PA14_29520
PA2675	hplT	PA14_29510
PA2676	hplS	PA14_29500
PA2677	hplR	PA14_29490
PA2683	tdcB	PA14_29410
PA2683.1	tsi5	rhsI1
PA2693	vdlD	PA14_29290
PA2695	yaiW	PA14_29270
PA2711	potF4	PA14_29090
PA2748	mapB	PA14_28590
PA2751	yfkH	PA14_28530
PA2752	yqaA	PA14_28510
PA2777	yfdC	PA14_28170
PA2806	yqcD	PA14_27850
PA2811	yadH	PA14_27780
PA2812	yadG	PA14_27770
PA2813	yliJ	PA14_27755
PA2815	yafH	PA14_27730
PA2827	yeaA	PA14_27510
PA2837	opmA	PA14_27410
PA2839	ygiD	PA14_27390
PA2840	deaD	PA14_27370
PA2854	erfK	PA14_27180
PA2858	ybbP	PA14_27140
PA2879	hpkR	PA14_26860
PA2909	cbiJ	PA14_26460
PA2910	yebN	PA14_26450
PA2939	pepB	PA14_26020
PA2945	cobW	PA14_25960
PA2959	ycfH	PA14_25780
PA2963	yceG	PA14_25730
PA2971	yceD	PA14_25620
PA2972	yceF	PA14_25610
PA2980	ycaR	PA14_25520
PA2990	ugpQ	PA14_25400
PA2993	yojL	PA14_25360
PA3019	uup	PA14_25020
PA3020	slt	PA14_25000
PA3023	yegS	PA14_24970
PA3025	glpD2	PA14_24950
PA3040	yqjD	PA14_24770
PA3041	yqjE	PA14_24760
PA3046	yggL	PA14_24700
PA3047	dacB	PA14_24690
PA3048	ycbY	PA14_24675
PA3088	yfjB	PA14_24220
PA3109	cvpA	PA14_23900
PA3119	yafE	PA14_23770
PA3122	yibL	PA14_23730
PA3128	ygfF	PA14_23650
PA3129	yohI	PA14_23640
PA3131	edaB	PA14_23620
PA3139	aspC	PA14_23500 tyrB
PA3157	wbpC	
PA3164		
PA3173	yciK	PA14_23200
PA3179	yciL	PA14_23110
PA3181	edaA	PA14_23090
PA3184	hexR	PA14_23060
PA3187	gltK	PA14_23010
PA3188	gltG	PA14_23000
PA3189	gltF	PA14_22990
PA3190	gltB	PA14_22980
PA3198	ypuG	PA14_22840
PA3199	yciO	PA14_22830
PA3200	yciV	PA14_22820
PA3201	yciB	PA14_22800
PA3202	yciI	PA14_22780
PA3208	ydjA	PA14_22710
PA3209	ykgJ	PA14_22700
PA3234	yjcG	PA14_22350
PA3235	yjcH	PA14_22340
PA3263	yaiD	PA14_21790
PA3264	yocS	PA14_21780
PA3272	lhr	PA14_21690
PA3275	ynfA	PA14_21660
PA3297	hrpA	PA14_21400
PA3309	uspK	PA14_21220
PA3362	amiS	
PA3365	amiB	PA14_20570
PA3367	ydcA	PA14_20550
PA3372	phnP	PA14_20450
PA3373	phnN	PA14_20440
PA3374	phnM	PA14_20430
PA3375	phnL	PA14_20420
PA3376	phnK	PA14_20400
PA3377	phnJ	PA14_20390
PA3378	phnI	PA14_20380
PA3379	phnH	PA14_20370
PA3380	phnG	PA14_20360
PA3381	phnF	PA14_20350
PA3383	phnD	PA14_20320
PA3388	yaeB	PA14_20260
PA3404	opmM	PA14_20050
PA3413	yebG	PA14_19950
PA3431	ywbG	PA14_19690
PA3433	ywbI	PA14_19670
PA3435	mioC	PA14_19660
PA3441	ssuF	PA14_19590
PA3442	ycbE	PA14_19580 ssuB
PA3443	ycbM	PA14_19570 ssuC
PA3444	ssuD	PA14_19560
PA3446	ssuE	PA14_19530
PA3448	ygaM	PA14_19510
PA3453	yceH	PA14_19450
PA3459	asnB	PA14_19370
PA3461	yhfE	PA14_19350
PA3463	yheU	PA14_19330
PA3465	yfiS	PA14_19310
PA3466	srmB	PA14_19290
PA3468	ybdG	PA14_19230
PA3469	ywjB	PA14_19210
PA3471	sfcA	PA14_19190
PA3474	yigM	PA14_19150
PA3480	dcd	PA14_19090
PA3481	mrp	PA14_19065
PA3489	rnfA	PA14_18950
PA3490	rnfB	PA14_18930
PA3491	rnfC	PA14_18920
PA3492	rnfD	PA14_18910
PA3493	rnfG	PA14_18900
PA3494	rnfE	PA14_18890
PA3529	tsaA	PA14_18690
PA3535	eprS	PA14_18630
PA3539	yaaA	PA14_18590
PA3564	yjjV	PA14_18210
PA3566	ycnE	PA14_18180
PA3568	ymmS	PA14_18150
PA3580	ybaK	PA14_17990
PA3588	opdR	PA14_17890
PA3592	baiF	PA14_17820
PA3598	ypqQ	PA14_17730
PA3600	rpl36	PA14_17710
PA3601	ykgM	PA14_17700
PA3602	yerD	PA14_17690
PA3606	yfiP	PA14_17650
PA3612	ypeB	PA14_17590
PA3616	recX	PA14_17540
PA3618	ygaD	PA14_17520
PA3626	ygbO	PA14_17440
PA3628	yeiG	PA14_17410
PA3631	yedE	PA14_17370
PA3632	yedF	PA14_17350
PA3634	ybgQ	PA14_17330
PA3638	mesJ	PA14_17280
PA3659	dapC	PA14_17030
PA3660	yjcE	PA14_17010
PA3664	yffB	PA14_16970
PA3680	yhiQ	PA14_16770
PA3685	yeaZ	PA14_16710
PA3689	yhdM	PA14_16670
PA3701	prfB	
PA3723	yqjM	PA14_16260
PA3726	yaeQ	PA14_16210
PA3731	yjfJ	PA14_16150
PA3732	yjfI	PA14_16140
PA3748	yfjD	PA14_15930
PA3749	yhjE	PA14_15920
PA3753	fbp	PA14_15870
PA3754	yeaB	PA14_15860
PA3756	yafK	PA14_15840
PA3758	nagA	PA14_15820
PA3760	nagF	PA14_15790
PA3764	yfhD	PA14_15720
PA3767	yfhC	PA14_15680
PA3797	yafV	PA14_14960
PA3798	ybdL	PA14_14940
PA3799	yfgK	PA14_14930
PA3801	yfgM	PA14_14900
PA3806	yfgB	PA14_14830
PA3808	yfhJ	PA14_14810
PA3818	suhB	PA14_14680
PA3819	ycfJ	PA14_14660
PA3822	yajC	PA14_14610
PA3839	yfbS	PA14_14360
PA3840	ybiN	PA14_14340
PA3849	yejK	PA14_14220
PA3858	aapJ	PA14_14100
PA3871	nifM	PA14_13840
PA3894	opmI	PA14_13520
PA3908	tsiT	PA14_13350
PA3911	yhbT	PA14_13320
PA3912	yhbV	PA14_13300
PA3913	yhbU	PA14_13290
PA3919	ylaK	PA14_13190
PA3936	tauC	PA14_12960
PA3937	tauB	PA14_12940
PA3938	tauA	PA14_12920
PA3961	hrpB	PA14_12630
PA3963	yiiP	PA14_12610
PA3968	ymfC	PA14_12540
PA3972	aidB	PA14_12450
PA3980	yleA	PA14_12350 miaB
PA3981	ybeZ	PA14_12330
PA3992	sltB3	PA14_12160
PA3998	ybeD	PA14_12110
PA4004	ybeA	PA14_12050 ybeD
PA4005	ybeB	PA14_12030 ybeA
PA4013	yohK	PA14_11930 ybeB
PA4017	yraR	PA14_11890 yohK
PA4029	dedA	PA14_11720 yraR
PA4030	yeeI	PA14_11700 dedA
PA4045	yleA	PA14_11530 yeeI
PA4061	ybbN	PA14_11340 btuF yadT
PA4080	rcsB	PA14_11120 ybbN
PA4087	moaF	PA14_11050 rcsB
PA4096	phlE	PA14_10910 moaF
PA4097	ydjL	PA14_10900 phlE
PA4113	ydeA	PA14_10750 ydjL
PA4114	bltD	PA14_10740 ydeA
PA4126	hpaX	PA14_10600 bltD
PA4128	hpaI	PA14_10570 hpaX
PA4133	cytN	PA14_10500 hpaI hpcH
PA4136	sur	PA14_10470 ccoN cytN fixN
PA4137	opdL	PA14_10440 bcr sur
PA4143	cvaB	PA14_10340 opdL
PA4144	opmK	PA14_10330 cvaB cyaB
PA4149	acoX	PA14_10270 opmK
PA4150	acoA	PA14_10260 acoX
PA4152	acoC	PA14_10240 acoA
PA4154	ygiM	PA14_10220 acoC
PA4167	yafB	PA14_09980 ygiM
PA4173	yjgH	PA14_09920 yafB
PA4179	opdN	PA14_09850 yjgH
PA4187	yaaU	PA14_09740 opdN
PA4220	fptB	PA14_09350 yaaU
PA4222	pchI	PA14_09320 fptB
PA4223	pchH	PA14_09300 pchI
PA4233	yajR	PA14_09195 pchH
PA4282	sbcC	PA14_55650 yajR
PA4333	fumA	PA14_56300 sbcC
PA4334	yfeP	PA14_56340 fumA
PA4353	yajB	PA14_56600 yfeP
PA4357	yhgG	PA14_56670 yajB
PA4359	feoA	PA14_56690 yhgG
PA4383	crcB	PA14_56980 feoA
PA4387	fxsA	PA14_57030 crcB
PA4392	ybaZ	PA14_57080 fxsA
PA4394	yggB	PA14_57110 ybaZ
PA4395	yajQ	PA14_57130 yggB
PA4399	yvqK	PA14_57180 yajQ
PA4415	mraY	PA14_57380 yvqK
PA4420	yabC	PA14_57450 mraW ylxA
PA4421	yabB	PA14_57460
PA4422	yraL	PA14_57470
PA4423	yraM	PA14_57480
PA4424	yraN	PA14_57490
PA4425	yraO	PA14_57500
PA4426	yraP	PA14_57510
PA4438	yhcM	PA14_57650
PA4445	ybgI	PA14_57740
PA4451	yrbA	PA14_57820
PA4454	yrbD	PA14_57850
PA4455	yrbE	PA14_57870
PA4456	yrbF	PA14_57880
PA4457	yrbH	PA14_57890 kdsD kpsF
PA4458	yrbI	PA14_57900
PA4463	yhbH	PA14_57950
PA4465	yhbJ	PA14_57970
PA4471	fagA	PA14_58040
PA4473	yjgA	PA14_58060
PA4474	tldD	PA14_58070
PA4478	yhdE	PA14_58110
PA4513	piuB	PA14_58560
PA4514	piuA	PA14_58570
PA4515	piuC	PA14_58580
PA4527	pilC	
PA4543	yfiH	PA14_60200
PA4548	dadA*	PA14_60270 yfiT
PA4558	yaaD	PA14_60350 fkbX
PA4562	mviN	PA14_60390
PA4564	creA	PA14_60410
PA4574	yqhA	PA14_60530
PA4583	rtcB	PA14_60650
PA4584	ycgL	PA14_60660
PA4589	fadL	PA14_60730
PA4592	opmF	PA14_60770
PA4595	yjjK	PA14_60800
PA4604	yjiA	PA14_60920
PA4605	ybdD	PA14_60930
PA4606	cstA	PA14_60950
PA4612	ankB	PA14_61020
PA4617	ygjO	PA14_61090
PA4627	yjjT	PA14_61220
PA4635	mgtC	PA14_61330
PA4641		
PA4645	hpt	PA14_61460 hprT
PA4671	rplY	PA14_61780
PA4672	pth	PA14_61790
PA4673	ychF	PA14_61820
PA4674	vapI	PA14_61840
PA4676	yadF	PA14_61860
PA4690		
PA4698	yqcC	PA14_62180
PA4715	yfdZ	PA14_62400
PA4721	sfsA	PA14_62470
PA4724	yadB	PA14_62510
PA4738	yjbJ	PA14_62680
PA4746	yhbC	PA14_62780
PA4753	yhbY	PA14_62880
PA4757	yeaS	PA14_62920
PA4766	yfjF	PA14_63040
PA4767	yfjG	PA14_63050
PA4769	lldR	PA14_63070
PA4783	yedA	PA14_63230
PA4790	smtA	PA14_63310
PA4821	dinF	PA14_63730
PA4827	nat	PA14_63830
PA4836	cntL	PA14_63940 zrmB
PA4837	cntO	PA14_63960 zrmA
PA4840	yciH	PA14_64000
PA4852	yhdG	PA14_64180
PA4870	ybiI	PA14_64410
PA4874	psiF	PA14_64460
PA4879	yhjG	PA14_64510
PA4897	optI	PA14_64710
PA4903	vanK	PA14_64790
PA4906	vanR	PA14_64820
PA4907	ydfG	PA14_64840
PA4928	ygiR	PA14_65080 ygiQ
PA4936	spoU	PA14_65190 yjfH
PA4939	hisX	PA14_65250
PA4940	yjeT	PA14_65260
PA4943	hflX	PA14_65300
PA4948	yjeE	PA14_65380
PA4949	yjeF	PA14_65390
PA4950	yjeS	PA14_65400
PA4952	yjeQ	PA14_65420
PA4960	serB	PA14_65560
PA4962	ybcI	PA14_65580
PA4968	yqiA	PA14_65670
PA4970	yqiB	PA14_65700
PA4974	opmH	PA14_65750
PA4983	dmsR	PA14_65880
PA5019	yhiR	PA14_66340
PA5022	aefA	PA14_66400
PA5023	ydiU	PA14_66410
PA5024	ytnM	PA14_66420
PA5029	ynfL	PA14_66490
PA5030	ynfM	PA14_66510
PA5059	phaD	PA14_66850
PA5061	phaI	PA14_66880
PA5079	yihZ	PA14_67100
PA5080	pip	PA14_67110 pap
PA5097	hutT	PA14_67310
PA5127	yibK	PA14_67710
PA5130	yibN	PA14_67750
PA5133	yibP	PA14_67790
PA5135	yibQ	PA14_67820
PA5148	yggX	PA14_68000
PA5149	mviM	
PA5157	marR	PA14_68110
PA5158	opmG	PA14_68120
PA5159	emrA	PA14_68130
PA5160	emrB	PA14_68140
PA5176	yrfE	PA14_68380
PA5177	yrfG	PA14_68390
PA5180	fdhD	PA14_68430
PA5195	yrfH	PA14_68630
PA5198	ldcA	PA14_68670
PA5201	tex	PA14_68710 yhgF
PA5205	ydeB	PA14_68750 marC
PA5210	hxrA	PA14_68820
PA5211	ybbJ	PA14_68830
PA5221	visC	PA14_68955
PA5227	ygfE	PA14_69030
PA5228	ygfA	PA14_69040
PA5230	yhhJ	PA14_69060
PA5231	yhiH	PA14_69070
PA5232	yhiI	PA14_69090
PA5236	ubiB	PA14_69140
PA5237	yigC	PA14_69150
PA5244	yohD	PA14_69250
PA5245	yhbL	PA14_69260
PA5246	yigI	PA14_69270
PA5247	yaiI	PA14_69280
PA5252	yheS	PA14_69340
PA5254	fkl	PA14_69380 fkbZ
PA5257	hemY	PA14_69420
PA5258	hemX	PA14_69430
PA5275	cyaY	PA14_69640
PA5281	yigB	PA14_69720
PA5286	yjbQ	PA14_69780
PA5290	yifB	PA14_69840
PA5298	xpt	PA14_69940
PA5305	ydbL	PA14_70050
PA5306	ynbE	PA14_70060
PA5308	lrp	PA14_70080 dadR
PA5310	ymdC	PA14_70110
PA5335	yicC	PA14_70430
PA5352	glcG	PA14_70650
PA5357	ubiC	PA14_70720
PA5371	yciA	PA14_70930
PA5382	yeiE	PA14_71090
PA5383	yeiH	PA14_71100
PA5424	yeaQ	PA14_71590
PA5435	oadA	PA14_71720
PA5440	yegQ	PA14_71820
PA5445		PA14_71890
PA5470	prfH	PA14_72200
PA5473	yjbB	PA14_72230
PA5486	yhgN	
PA5492	ysxC	PA14_72480 yihA
PA5518	ybaL	PA14_72800
PA5567	thdF	PA14_73400
PA5568	yidC	
PA0001	dnaA	PA14_00010
PA0002	dnaN	PA14_00020
PA0003	recF	PA14_00030
PA0004	gyrB	PA14_00050
PA0005	lptA	PA14_00060 plsC
PA0007		PA14_00080
PA0008	glyS	PA14_00090
PA0009	glyQ	PA14_00100
PA0010	tag	PA14_00110
PA0011	htrB1	2-OH-lauroyltransferase PA14_00120
PA0012		PA14_00130
PA0014		PA14_00150
PA0015		PA14_00160
PA0016	trkA	PA14_00170
PA0018	fmt	PA14_00190
PA0019	def	PA14_00200
PA0020	tsaP	PA14_00210
PA0023	qor	PA14_00250
PA0024	hemF	PA14_00280
PA0025	aroE	PA14_00290
PA0026	plcB	PA14_00300
PA0027		PA14_00310
PA0028		PA14_00320
PA0029		PA14_00340
PA0030	cosX	PA14_00360
PA0031	betC	PA14_00380
PA0032		PA14_00400
PA0033	hptC	PA14_00420
PA0034		PA14_00430
PA0035	trpA	PA14_00440
PA0036	trpB	PA14_00450
PA0037	trpI	PA14_00460
PA0038		PA14_00470
PA0039		PA14_00480
PA0040		PA14_00490
PA0041		PA14_00510
PA0042		PA14_00530
PA0043		PA14_00550
PA0044	exoT	PA14_00560
PA0045		PA14_00570
PA0046		PA14_00580
PA0047		PA14_00590
PA0048		PA14_00600
PA0049		PA14_00620
PA0050		PA14_00630
PA0051	phzH	PA14_00640
PA0052		PA14_00650
PA0053		
PA0055		PA14_00670
PA0056		PA14_00680
PA0057		PA14_00690
PA0058	dsbM	PA14_00700
PA0059	osmC	PA14_00710
PA0060		PA14_00720
PA0061		PA14_00730
PA0062		PA14_00740
PA0063		PA14_00750
PA0064		PA14_00760
PA0065		PA14_00770
PA0067	prlC	PA14_00790 opdA
PA0068		PA14_00800
PA0069		PA14_00810
PA0070	tagQ1	PA14_00820
PA0071	tagR1	PA14_00830
PA0072	tagS1	PA14_00850
PA0073	tagT1	PA14_00860
PA0074	ppkA	PA14_00875 tagE1
PA0075	pppA	PA14_00890 tagG1
PA0076	tagF1	PA14_00900
PA0077	icmF1	PA14_00910 tssM1
PA0078	tssL1	PA14_00925
PA0079	tssK1	PA14_00940
PA0080	tssJ1	PA14_00960
PA0081	fha1	PA14_00980
PA0082	tssA1	PA14_00990
PA0083	tssB1	PA14_01010
PA0084	tssC1	PA14_01020
PA0085	hcp1	PA14_01030
PA0086	tagJ1	PA14_01040 hsiE1
PA0087	tssE1	PA14_01060
PA0088	tssF1	PA14_01070
PA0089	tssG1	PA14_01080
PA0090	clpV1	PA14_01100
PA0091	vgrG1	PA14_01110 vgrG1a
PA0092	tsi6	PA14_01120
PA0093	tse6	PA14_01140
PA0094	eagT6	PA14_01150
PA0096		PA14_01170
PA0097		PA14_01180
PA0098		PA14_01190
PA0099		PA14_01200
PA0100		
PA0101		PA14_01230
PA0102		PA14_01240
PA0103		PA14_01250
PA0104		PA14_01270
PA0105	coxB	PA14_01290 coII
PA0106	coxA	PA14_01300 coI
PA0107		PA14_01310
PA0108	coIII	PA14_01320
PA0109		PA14_01330
PA0110		PA14_01340
PA0111		PA14_01350
PA0112		PA14_01360
PA0113		PA14_01380
PA0114	senC	PA14_01390
PA0116		PA14_01410
PA0117		PA14_01430
PA0118		PA14_01440
PA0119		PA14_01460
PA0120		PA14_01470
PA0121		PA14_01480
PA0122	rahU	PA14_01490
PA0123		PA14_01500
PA0124		PA14_01510
PA0125		PA14_01520
PA0126		PA14_01540
PA0127		PA14_01550
PA0129	bauD	PA14_01580
PA0130	bauC	PA14_01600
PA0131	bauB	PA14_01610
PA0132	bauA	PA14_01620 oapT
PA0133	bauR	PA14_01640
PA0135		
PA0136		PA14_01670
PA0137		PA14_01680
PA0138		PA14_01690
PA0139	ahpC	PA14_01710
PA0140	ahpF	PA14_01720
PA0141		PA14_01730
PA0142		PA14_01750
PA0143	nuh	PA14_01760
PA0144		PA14_01780
PA0145		PA14_01790
PA0146		PA14_01800
PA0147		PA14_01810
PA0149		PA14_01840
PA0150		PA14_01860
PA0151		PA14_01870
PA0152	pcaQ	PA14_01890
PA0153	pcaH	PA14_01900
PA0154	pcaG	PA14_01910
PA0155	pcaR	PA14_01930
PA0156	triA	PA14_01940
PA0157	triB	PA14_01960
PA0158	triC	PA14_01970
PA0159		PA14_01980
PA0160		PA14_01990
PA0161		PA14_02010
PA0162	opdC	PA14_02020
PA0163		PA14_02030
PA0164		PA14_02050
PA0165		PA14_02060
PA0166		PA14_02070
PA0167		PA14_02090
PA0169	siaD	PA14_02110
PA0170		PA14_02130
PA0171		PA14_02140
PA0172	siaA	PA14_02150
PA0173		PA14_02180
PA0174		PA14_02190
PA0175	cheR2	PA14_02200
PA0176	aer2	PA14_02220
PA0177		PA14_02230
PA0178		PA14_02250
PA0179		PA14_02260
PA0180	cttP	PA14_02270 mcpA
PA0181		PA14_02290
PA0183	atsA	PA14_02310
PA0187		
PA0188		
PA0190		PA14_02380
PA0191		PA14_02390
PA0192		PA14_02410
